2025-06-19 17:09:37.582802	Avg_MHz	Busy%	Bzy_MHz	C1E	C3	C6	C7s	C8	C9	C10	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c3	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	GFXAMHz	Pkg%pc7	Pkg%pc9	PkgWatt	CorWatt	GFXWatt	RAMWatt	UncMHz
2025-06-19 17:10:12.703353	3167	93.14	3400	21	0	3	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75	75	99.49	300	0	0.00	0.00	26.22	24.78	0.00	1.32	3100
2025-06-19 17:10:13.705325	3145	92.49	3400	527	24	27	0	8	0	8	0.17	0.01	0.02	0.00	0.00	0.00	0.00	0.00	74	74	99.50	300	0	0.00	0.00	26.00	24.66	0.01	1.24	3100
2025-06-19 17:10:14.707280	3151	92.66	3400	296	8	30	0	2	0	6	0.06	0.00	0.01	0.00	0.00	0.00	0.00	0.00	75	75	99.41	300	0	0.00	0.00	26.03	24.71	0.01	1.24	3100
2025-06-19 17:10:15.709264	3164	93.05	3400	35	0	3	0	0	0	0	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75	75	99.51	300	0	0.00	0.00	26.11	24.78	0.01	1.24	3100
2025-06-19 17:10:16.711142	3165	93.09	3400	58	0	6	0	1	0	0	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75	75	99.50	300	0	0.00	0.00	26.18	24.80	0.01	1.31	3100
2025-06-19 17:10:17.713416	3091	90.93	3400	2687	95	152	0	21	0	36	1.08	0.03	0.05	0.00	0.01	0.00	0.02	0.00	75	75	99.48	300	0	0.00	0.00	25.81	24.32	0.01	1.28	3100
2025-06-19 17:10:18.715504	3156	92.81	3400	346	4	20	0	5	0	1	0.12	0.00	0.01	0.00	0.00	0.00	0.00	0.00	76	76	99.50	300	0	0.00	0.00	26.16	24.73	0.01	1.29	3100
2025-06-19 17:10:19.720273	2410	70.98	3399	68	15	60	0	51	1	36	0.11	0.13	0.68	0.00	0.63	0.40	21.07	0.15	55	56	99.22	300	0	0.00	0.00	20.29	18.96	0.00	1.13	600
2025-06-19 17:10:20.724816	7	0.70	1000	69	10	77	0	89	0	174	0.11	0.02	0.73	0.00	1.08	0.00	97.35	0.03	53	53	99.55	300	0	0.00	0.00	0.98	0.08	0.00	0.58	600
2025-06-19 17:10:21.730223	5	0.47	1142	23	6	35	0	40	3	161	0.04	0.01	0.32	0.00	0.46	0.19	98.50	0.01	52	52	99.56	300	0	0.00	0.00	0.97	0.08	0.00	0.57	500
2025-06-19 17:10:22.735417	5	0.46	1109	14	3	25	0	34	0	165	0.02	0.00	0.24	0.00	0.40	0.00	98.90	0.00	51	52	99.58	300	0	0.00	0.00	0.96	0.07	0.00	0.59	500
2025-06-19 17:10:23.740777	6	0.53	1086	95	6	96	0	92	0	160	0.24	0.01	1.00	0.00	1.11	0.00	97.12	0.01	50	51	99.47	300	0	0.00	0.00	1.12	0.09	0.00	0.58	500
