uname,metric,category,multi,metric_label,units,style,priority,prefix,scale
Linux,SwapTotal,Linux Mem,0.000977,SwapTotal,megabytes,gauge,5,,megabytes
Linux,Unaccepted,Linux Mem,0.000977,Unaccepted,megabytes,gauge,1,,megabytes
Linux,Unevictable,Linux Mem,0.000977,Unevictable,megabytes,gauge,1,,megabytes
Linux,VmallocChunk,Linux Mem,0.000977,VmallocChunk,megabytes,gauge,1,,megabytes
Linux,VmallocTotal,Linux Mem,0.000977,VmallocTotal,megabytes,gauge,1,,megabytes
Linux,VmallocUsed,Linux Mem,0.000977,VmallocUsed,megabytes,gauge,1,,megabytes
Linux,Writeback,Linux Mem,0.000977,Writeback,megabytes,gauge,3,,megabytes
Linux,WritebackTmp,Linux Mem,0.000977,WritebackTmp,megabytes,gauge,1,,megabytes
Linux,Zswap,Linux Mem,0.000977,Zswap,megabytes,gauge,1,,megabytes
Linux,Zswapped,Linux Mem,0.000977,Zswapped,megabytes,gauge,1,,megabytes
Linux,b,Linux VM,1,blocked,integer,gauge,7,,megabytes
Linux,bi,Linux VM,0.000977,in_bps,megabytes,gauge,9,,megabytes
Linux,bo,Linux VM,0.000977,out_bps,megabytes,gauge,9,,megabytes
Linux,buff,Linux VM,0.000977,buffers,megabytes,gauge,5,,megabytes
Linux,cache,Linux VM,0.000977,cache,megabytes,gauge,3,,megabytes
Linux,cs,Linux VM,1,switches,integer,gauge,3,,megabytes
Linux,free,Linux VM,0.000977,free,megabytes,gauge,3,,megabytes
Linux,gu,Linux VM,1,guest,percent,gauge,7,,megabytes
Linux,in,Linux VM,1,interrupts,integer,gauge,1,,megabytes
Linux,r,Linux VM,1,runnable,integer,gauge,7,,megabytes
Linux,si,Linux VM,0.000977,swap_in,megabytes,gauge,5,,megabytes
Linux,so,Linux VM,0.000977,swap_out,megabytes,gauge,5,,megabytes
Linux,st,Linux VM,1,stolen,percent,gauge,5,,megabytes
Linux,swpd,Linux VM,0.000977,swapped,megabytes,gauge,9,,megabytes
Linux,wa,Linux VM,1,wait_io,percent,gauge,9,,megabytes
CPU,sy,VM,1,sustem,percent,gauge,9,,megabytes
CPU,us,VM,1,user,percent,gauge,9,,megabytes
CPU,id,VM,1,idle,percent,gauge,9,,megabytes
Linux,_aqu-sz,Linux Disk,1,aqu-sz,integer,gauge,7,disk,megabytes
Linux,_dareq-sz,Linux Disk,1,dareq-sz,integer,gauge,1,disk,megabytes
Linux,_d_await,Linux Disk,1,d_await,ms,gauge,1,disk,megabytes
Linux,_dMB/s,Linux Disk,1,d_bps,megabytes,gauge,1,disk,megabytes
Linux,_%drqm,Linux Disk,1,%drqm,percent,gauge,1,disk,megabytes
Linux,_drqm/s,Linux Disk,1,drqm/s,integer,gauge,1,disk,megabytes
Linux,_d/s,Linux Disk,1,d/s,integer,gauge,1,disk,megabytes
Linux,_f_await,Linux Disk,1,f_await,ms,gauge,3,disk,megabytes
Linux,_f/s,Linux Disk,1,f/s,integer,gauge,3,disk,megabytes
Linux,_rareq-sz,Linux Disk,1,r_req_sz,integer,gauge,5,disk,megabytes
Linux,_r_await,Linux Disk,1,r_await,ms,gauge,7,disk,megabytes
Linux,_rMB/s,Linux Disk,1,r_bps,megabytes,gauge,9,disk,megabytes
Linux,_%rrqm,Linux Disk,1,%rrqm,percent,gauge,5,disk,megabytes
Linux,_rrqm/s,Linux Disk,1,rrqm/s,integer,gauge,5,disk,megabytes
Linux,_r/s,Linux Disk,1,r/s,integer,gauge,9,disk,megabytes
Linux,_%util,Linux Disk,1,util_pct,percent,gauge,9,disk,megabytes
Linux,_wareq-sz,Linux Disk,1,w_req_sz,integer,gauge,5,disk,megabytes
Linux,_w_await,Linux Disk,1,w_await,ms,gauge,7,disk,megabytes
Linux,_wMB/s,Linux Disk,1,w_bps,megabytes,gauge,9,disk,megabytes
Linux,_%wrqm,Linux Disk,1,%wrqm,percent,gauge,5,disk,megabytes
Linux,_wrqm/s,Linux Disk,1,wrqm/s,integer,gauge,5,disk,megabytes
Linux,_w/s,Linux Disk,1,w/s,integer,gauge,9,disk,megabytes
Darwin,_KB/t,Mac Disk,1,KB/t,integer,gauge,7,disk,megabytes
Darwin,_MB/s,Mac Disk,1,tot_bps,megabytes,gauge,9,disk,megabytes
Darwin,_tps,Mac Disk,1,total_ps,integer,gauge,9,disk,megabytes
Darwin,1m,Mac Disk,1,load_1m,integer,gauge,9,,megabytes
Darwin,5m,Mac Disk,1,load_5m,integer,gauge,7,,megabytes
Darwin,15m,Mac Disk,1,load_15m,integer,gauge,7,,megabytes
Darwin,0fill,Mac Mem,0.00391,0fill,megabytes,gauge,1,,megabytes
Darwin,active,Mac Mem,0.00391,active,megabytes,gauge,9,,megabytes
Darwin,anonymous,Mac Mem,0.00391,anonymous,megabytes,gauge,1,,megabytes
Darwin,cmprssed,Mac Mem,0.00391,cmprssed,megabytes,gauge,1,,megabytes
Darwin,cmprssor,Mac Mem,0.00391,cmprssor,megabytes,gauge,1,,megabytes
Darwin,comprs,Mac Mem,1,comprs,integer,gauge,1,,megabytes
Darwin,copy,Mac Mem,0.00391,copy,bytes,gauge,1,,megabytes
Darwin,dcomprs,Mac Mem,1,dcomprs,integer,gauge,1,,megabytes
Darwin,faults,Mac Mem,1,faults,integer,gauge,1,,megabytes
Darwin,file-backed,Mac Mem,0.00391,file-backed,megabytes,gauge,1,,megabytes
Darwin,free,Mac Mem,0.00391,free,megabytes,gauge,9,,megabytes
Darwin,inactive,Mac Mem,0.00391,inactive,megabytes,gauge,1,,megabytes
Darwin,pageins,Mac Mem,0.00391,pageins,megabytes,gauge,1,,megabytes
Darwin,pageout,Mac Mem,0.00391,pageout,megabytes,gauge,1,,megabytes
Darwin,prgable,Mac Mem,0.00391,prgable,megabytes,gauge,1,,megabytes
Darwin,purged,Mac Mem,0.00391,purged,megabytes,gauge,1,,megabytes
Darwin,reactive,Mac Mem,0.00391,reactive,megabytes,gauge,1,,megabytes
Darwin,specul,Mac Mem,0.00391,specul,megabytes,gauge,1,,megabytes
Darwin,swapins,Mac Mem,0.00391,swapins,megabytes,gauge,5,,megabytes
Darwin,swapouts,Mac Mem,0.00391,swapouts,megabytes,gauge,5,,megabytes
Darwin,throttle,Mac Mem,0.00391,throttle,megabytes,gauge,5,,megabytes
Darwin,wired,Mac Mem,0.00391,wired,megabytes,gauge,1,,megabytes
Database,pg_clients_active,Database,1,clients_active,integer,gauge,7,,megabytes
Database,pg_clients_idle,Database,1,clients_idle,integer,gauge,7,,megabytes
Database,pg_db_size,Database,0.00000095,db_size,megabytes,gauge,9,,megabytes
Database,pg_max_query_runtime_sec,Database,1,max_runtime,seconds,gauge,7,,megabytes
Database,min_latency,Database,1,pg_min_latency,ms,gauge,9,,megabytes
Database,avg_latency,Database,1,pg_avg_latency,ms,gauge,9,,megabytes
Database,max_latency,Database,1,pg_max_latency,ms,gauge,9,,megabytes
Linux,Avg_MHz,Power,1,avg_mhz,mhz,gauge,5,,megabytes
Linux,Bzy_MHz,Power,1,busy_mhz,mhz,gauge,5,,megabytes
Linux,Busy%,Power,1,busy_pct,percent,gauge,5,,megabytes
Linux,C3,Power,1,C3,integer,gauge,1,,megabytes
Linux,C3%,Power,1,c3_pct,percent,gauge,5,,megabytes
Linux,CorWatt,Power,1,core,watts,gauge,5,,megabytes
Linux,PkgWatt,Power,1,package,watts,gauge,5,,megabytes
Darwin,CPU_Power_mW,Power,0.001,core,watts,gauge,5,,megabytes
Darwin,Combined_Power_mW,Power,0.001,package,watts,gauge,5,,megabytes
